"bookname"	"user_id"	"behavior_timestamp"	"gender"	"age"	"industry"	"edu"	"career"	"highlight"
"小王子"	"699031735"	"1489246277"	"男 "	"18-24 "	"日化百货 "	"本科及以上 "	"专业技术人员 "	"殿的新古典主义建筑供奉着法国历史上最杰出的人物，其中有叱咤风云的政治家，如让·拉纳和莱昂·甘必大 "
"小王子"	"-1444970251"	"1490343255"	" "	" "	" "	" "	" "	"在的感受，“重要 "
"小王子"	"1366403043"	"1488720511"	"男 "	"18-24 "	"纺织服装 "	"高中及以下 "	"文职人员 "	"不远的昂贝略机场找人了解飞行原理。那时他曾写下三句诗——这是他的处女作——来表达他对飞机的痴迷： "
"小王子"	"1094920715"	"1489113830"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"道，但他的私人生活并不美满。首先是他和康苏艾萝的关系在婚后始终处于紧张的状态。 "
"小王子"	"1094920715"	"1489204785"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"是啊，”狐狸说，“对我来说，你无非是个孩子，和其他成千上万个孩子没有什么区别。我不需要你。你也不需要我。对你来说，我无非是只狐狸，和其他成千上万只狐狸没有什么不同。但如果你驯化了我，那我们就会彼此需要。你对我来说是独一无二的，我对你来说也是独一无二的……” "
"小王子"	"771344269"	"1490796923"	"男 "	"18-24 "	" "	"高中及以下 "	" "	"人文景点 "
"小王子"	"1566541565"	"1488331004"	"女 "	"18-24 "	" "	"高中及以下 "	" "	"人要显得聪明，有时候就会说点谎话。 "
"小王子"	"1214506953"	"1489243537"	"男 "	"18-24 "	" "	"本科及以上 "	" "	"。 "
"小王子"	"-1631505733"	"1488088890"	" "	" "	" "	" "	" "	"上的，我应 "
"小王子"	"1094920715"	"1489113830"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"他的祖父费尔南在这一年去世，这意味着再也不会有人来安排他的人生道路了。失去管束的安托万选择了到巴黎的国家美术学院建筑学系去当旁听生，但学习并不用功，整天在各处餐厅和酒馆过着放浪形骸的生活。 "
"小王子"	"458396021"	"1488611946"	"女 "	"25-34 "	"机械制造 "	"高中及以下 "	"专业技术人员 "	"“为了忘记，”爱喝酒的人回答。“忘记什么呀？”小王子问，他已经开始替这人感到难过。“忘记我的羞愧，”爱喝酒的人低着头说。“羞愧什么呢？”小王子问，他想帮帮这个人。“羞愧喝酒啊！”爱喝酒的人说完这句话就再也不肯开口了。小王子走开了，他感到很迷惑。“大人真是非常、非常奇怪啊，”小王子心里想，继续踏上他的旅程。 "
"小王子"	"1445175617"	"1490185446"	" "	" "	" "	" "	"文职人员 "	"“那没关系。我住的地方很小。” "
"小王子"	"-1765581813"	"1490045633"	" "	" "	" "	" "	" "	"其先前作品相关的信息，书中几乎每个角色、每个场景都有强烈的暗示作用 "
"小王子"	"656590151"	"1490201342"	"女 "	"45-54 "	"建材家居 "	"高中及以下 "	"专业技术人员 "	"此之多的果园牧场，所以长久以来我们对这座监狱有着美好的印象。我们误以为这个星球是湿润和温柔的。 "
"小王子"	"140293869"	"1490022018"	"女 "	"18-24 "	"教育 "	"高中及以下 "	"专业技术人员 "	"后 "
"小王子"	"-1625652369"	"1490362817"	" "	" "	" "	" "	" "	"的。小王子接 "
"小王子"	"1094920715"	"1489115998"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"。存在主义最核心的命题是存在先于本质，这意味着人的本质是由他的存在决定的。或者用更通俗的话来说，人生的价值和意义都是人们通过实际生活中的行动创造出来的。换言之，外在事物，或者生活本身是没有意义的，除非你去赋予它意义 "
"小王子"	"958038791"	"1490586984"	"女 "	"18-24 "	"教育 "	"高中及以下 "	"专业技术人员 "	"尽办法，包括申请了十五项航空领域的专利，但都没能摆脱入不敷出的经济状况。于是在1935年1 "
"小王子"	"87855487"	"1489752478"	"女 "	"35-44 "	"社会公共管理 "	"本科及以上 "	"专业技术人员 "	"朵花轻轻地回答，“而且我出生时太阳正好……”小王子很快看出来她不是很谦虚，但她长得太动人啦！[图片]“我想早餐时间应该到了吧，”她很快又说，“你能不能……” "
"小王子"	"923582421"	"1490227878"	"男 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"长得很像，你要是能把它认出来，马上就得拔掉。这是非常乏味的劳动，但也非常简单。” "
"小王子"	"1094920715"	"1489113830"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"女的人文情怀 "
"小王子"	"1094920715"	"1489133480"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"。1920年，那位天文学家穿得非常气派，又在大会上讲述他的发现。这 "
"小王子"	"958038791"	"1490587042"	"女 "	"18-24 "	"教育 "	"高中及以下 "	"专业技术人员 "	"香烟，每个月就要耗费几千法郎。这种不 "
"小王子"	"1566541565"	"1488331004"	"女 "	"18-24 "	" "	"高中及以下 "	" "	"Les ailes frémissaient sous le souffle du soir（机翼的颤动扰乱黑夜的呼吸）Le moteur de son chant berait l'me endormie（引擎的歌声摇晃沉睡的灵魂）Le soleil nous frlait de sa couleur ple（太阳涂抹我们用苍白的颜色） "
"小王子"	"755724779"	"1490330127"	"女 "	"18-24 "	"家电 "	"高中及以下 "	"专业技术人员 "	"如果让自己被驯化，就难免会流泪…… "
"小王子"	"1094920715"	"1489199723"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"人。也许这是因为他那么忙碌 "
"小王子"	"1366403043"	"1488720444"	"男 "	"18-24 "	"纺织服装 "	"高中及以下 "	"文职人员 "	"圣埃克苏佩里家族原是法国的豪门巨族，安托万的祖父费尔南曾担任法国南部洛泽尔省的副省长，但1870年共和派当权之后，他辞官移居北部城市勒芒，在太阳保险公司担任董事。安托万的父亲让·圣埃克苏佩里世袭了伯爵的称号，也进入太阳保险公司，并被派往里昂开拓业务。1896年，三十三岁的让·圣埃克苏佩里在里昂迎娶了同样贵族出身的玛丽·封思科隆布，两人婚后琴瑟和谐，总共生了五个孩子，1900年6月29日出生的安托万·德·圣埃克苏佩里是第三个。 "
"小王子"	"188550245"	"1490845281"	"女 "	"25-34 "	"建筑房地产 "	"高中及以下 "	"专业技术人员 "	"克多·雨果 "
"小王子"	"1094920715"	"1489113830"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"从诗人变成了小说家，而他的两大爱好，飞行和文学，也从此合而为一 "
"小王子"	"1094920715"	"1489204785"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"星星那么亮，是不是为了让每个人终有一天能回到自己的星球？你看看我的星球。它就在我们上方……但它离得太远啦！” "
"小王子"	"1094920715"	"1489204785"	"女 "	"18-24 "	"IT通信电子 "	"大专 "	"文职人员 "	"你要永远为你驯化的东西负责。你要为你的玫瑰负责……” "
"小王子"	"1088941449"	"1489435086"	"女 "	"35-44 "	"家电 "	"本科及以上 "	"专业技术人员 "	"奋不辍的练笔为他的小说家生涯奠定了初步的基础。 "
"小王子"	"-1910323081"	"1489846256"	" "	" "	" "	" "	" "	"Le moteur de son chant berait l'me endormie（引擎的歌声摇晃沉睡的灵魂） "
"小王子"	"1186120359"	"1490023818"	"男 "	"18-24 "	"能源采矿化工 "	"高中及以下 "	"专业技术人员 "	"本身是没有意义的，除非你去赋予它意义 "
"小王子"	"-1470907575"	"1493483466"	" "	" "	" "	" "	" "	"“有一天，”你说，“我看了四十 "
"小王子"	"961860209"	"1489409818"	"男 "	"18-24 "	" "	"本科及以上 "	" "	"” "
"小王子"	"1879462735"	"1490454950"	"男 "	"18-24 "	"住宿旅游 "	"高中及以下 "	"专业技术人员 "	"？”“当你抬头看着夜空时，因为我住在某颗星星上面，因为我会在某颗星星上面笑，所以对你来说，就好象所有的星星都在笑。到时你将拥有会笑的星星！”他又笑起来。“当你的悲伤平息之后（悲伤总是会平息的），你将会因为认识了我而感到高兴。你将永远是我的朋友。你将会想陪我一起笑。有时候，你会因为这个缘故而打开窗户……你的朋友会吃惊地发现你正对着星空发笑。然后 "
"小王子"	"1628041719"	"1488202215"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"不知节制 "
"小王子"	"1628041719"	"1488204576"	"女 "	"35-44 "	"教育 "	"高中及以下 "	"专业技术人员 "	"媲美出色 "
